rank,Name,classical,Rapid,Blitz
1,Magnus Carlsen,2830,2823,2886
2,Fabiano Caruana,2804,2729,2790
3,Hikaru Nakamura,2788,2746,2874
4,Ding Liren,2780,2818,2787
5,Ian Nepomniachtchi,2769,2754,2800
6,Alireza Firouzja,2759,2724,2863
7,Wesley So,2757,2742,2767
8,Leinier Dominguez Perez,2752,2706,2654
9,Sergey Karjakin,2750,2724,2647
10,Anish Giri,2749,2702,2715
11,Viswanathan Anand,2748,2749,2709
12,Vincent Keymer,2743,2636,2645
13,Praggnanandhaa Rameshbabu,2743,2645,2623
14,Vidit Santosh Gujrathi,2742,2701,2616
15,Wei Yi,2740,2743,2661
16,Parham Maghsoodloo,2740,2683,2660
17,Arjun Erigaisi,2738,2681,2744
18,Maxime Vachier-Lagrave,2734,2755,2764
19,Jan-Krzysztof Duda,2732,2748,2766
20,Alexander Grischuk,2732,2701,2701
21,Le Quang Liem,2731,2650,2665
22,Veselin Topalov,2727,2632,2657
23,Nodirbek Abdusattorov,2727,2733,2708
24,Shakhriyar Mamedyarov,2726,2706,2700
25,Gukesh Dommaraju,2725,2629,2659
26,Levon Aronian,2725,2746,2759
27,Yu Yangyi,2720,2725,2734
28,Richard Rapport,2717,2708,2745
29,Francisco Vallejo Pons,2712,2661,2589
30,Vladislav Artemiev,2711,2737,2802
31,Daniil Dubov,2708,2715,2802
32,Samuel Shankland,2708,2597,2668
33,Pentala Harikrishna,2707,2630,2634
34,Nikita Vitiugov,2704,2622,2673
35,Bogdan-Daniel Deac,2704,2616,2641
36,Jorden van Foreest,2704,2659,2664
37,Sanan Sjugirov,2702,2571,2569
38,Wang Hao,2702,2709,2624
39,Ray Robson,2701,2596,2665
40,Sam Sevian,2698,2581,2695
41,Amin Tabatabaei,2696,2577,2586
42,David Navara,2695,2701,2680
43,Pavel Eljanov,2695,2641,2598
44,Evgeny Tomashevsky,2694,2642,2663
45,Jeffery Xiong,2693,2714,2707
46,David Anton Guijarro,2693,2635,2606
47,Gabriel Sargissian,2692,2612,2579
48,Bu Xiangzhi,2690,2611,2760
49,Peter Svidler,2688,2734,2689
50,Alexey Sarana,2685,2649,2703
51,Alexander Donchenko,2684,2568,2565
52,Bassem Amin,2684,2600,2636
53,Nihal Sarin,2684,2671,2704
54,Andrey Esipenko,2683,2665,2615
55,Haik Martirosyan,2683,2591,2701
56,Nils Grandelius,2683,2632,2573
57,Grigoriy Oparin,2681,2657,2647
58,Radoslaw Wojtaszek,2679,2645,2604
59,Maxim Matlakov,2677,2636,2666
60,David Howell,2677,2604,2567
61,Vladimir Fedoseev,2676,2729,2719
62,Kirill Alekseenko,2675,2639,2683
63,Kirill Shevchenko,2675,2613,2603
64,Igor Kovalenko,2674,2608,2574
65,Rustam Kasimdzhanov,2673,2648,2586
66,Vasyl Ivanchuk,2672,2664,2678
67,Matthias Bluebaum,2670,2601,2626
68,Alexei Shirov,2668,2585,2659
69,Peter Leko,2666,2710,2738
70,Anton Korobov,2663,2627,2649
71,Etienne Bacrot,2662,2675,2640
72,Gadir Guseinov,2661,2632,2573
73,Jules Moussard,2661,2606,2637
74,Saleh Salem,2661,2673,2668
75,Boris Gelfand,2661,2619,2604
76,Andrei Volokitin,2661,2627,2545
77,Hans Moke Niemann,2660,2577,2616
78,Wang Yue,2659,2709,2666
79,Javokhir Sindarov,2659,2601,2585
80,Michael Adams,2658,2647,2704
81,Ernesto Inarkiev,2658,2684,2544
82,Ivan Cheparinov,2657,2648,2613
83,Ivan Saric,2657,2631,2586
84,Yuriy Kryvoruchko,2656,2697,2595
85,Narayanan Sunilduth Lyna,2656,2586,2564
86,Jaime Santos Latasa,2656,2645,2604
87,Laurent Fressinet,2652,2663,2635
88,Li Chao,2652,2631,2693
89,Arkadij Naiditsch,2651,2566,2581
90,Ma Qun,2651,2577,2602
91,Alexandr Predke,2651,2589,2594
92,Ni Hua,2651,2626,2579
93,Ruslan Ponomariov,2650,2646,2604
94,Hrant Melkumyan,2650,2686,2604
95,Awonder Liang,2649,2528,2538
96,Evgeniy Najer,2648,2579,2545
97,Vladimir Malakhov,2646,2666,2652
98,Nijat Abasov,2646,2532,2551
99,Aravindh Chithambaram,2645,2553,2596
100,Loek van Wely,2644,2528,2553
101,Alan Pichot,2642,2565,2583
102,Nguyen Ngoc Truong Son,2641,2575,2556
103,Gata Kamsky,2641,2630,2660
104,Aryan Chopra,2641,0,0
105,Dariusz Swiercz,2640,2657,2620
106,Shant Sargsyan,2639,2579,2627
107,Thai Dai Van Nguyen,2637,2537,2574
108,Benjamin Gledura,2637,2636,2537
109,Frederik Svane,2634,2455,2502
110,Mustafa Yilmaz,2634,2542,2523
111,Rauf Mamedov,2633,2620,2635
112,Max Warmerdam,2633,2531,2514
113,Pouya Idani,2633,2516,2574
114,Tamir Nabaty,2632,2658,2627
115,Volodar Murzin,2631,2558,2620
116,Rasmus Svane,2631,2621,2601
117,Vasif Durarbayli,2631,2531,2551
118,Nodirbek Yakubboev,2630,2574,2575
119,Erwin l'Ami,2630,2647,2675
120,Luka Lenic,2629,2659,2644
121,Georg Meier,2629,2644,2517
122,Aryan Tari,2629,2539,2586
123,Ioannis Papaioannou,2628,2614,2666
124,Dmitrij Kollars,2628,2536,2584
125,Leon Luke Mendonca,2628,2458,2481
126,Ivan Popov,2628,2577,2554
127,Hou Yifan,2628,2537,2561
128,Julio E Granda Zuniga,2628,2609,2624
129,Yuriy Kuzubov,2627,2626,2487
130,Jorge Cori,2627,2594,2571
131,Luke McShane,2626,2702,2583
132,Cristobal Henriquez Villagra,2626,2596,2565
133,Abhijeet Gupta,2625,2543,2528
134,Alexander Areshchenko,2625,2565,2627
135,Mateusz Bartel,2625,2533,2516
136,Raunak Sadhwani,2624,2564,2669
137,Jonas Buhl Bjerre,2624,2518,2512
138,Markus Ragger,2624,2630,2532
139,Yaroslav Zherebukh,2624,2620,2531
140,Imre Balog,2622,2619,2598
141,Illya Nyzhnyk,2621,2658,2643
142,Jan Gustafsson,2620,2641,2528
143,Karen H Grigoryan,2619,2674,2700
144,Anton Demchenko,2619,2538,2545
145,Daniel Naroditsky,2619,2642,2623
146,Jose Eduardo Martinez Alcantara,2619,2641,2703
147,Vladimir Onischuk,2619,2661,2643
148,Jakhongir Vakhidov,2618,2527,2582
149,Karthikeyan Murali,2618,2522,2527
150,Gawain Jones,2618,2630,2645
151,Parimarjan Negi,2617,2613,2613
152,Benjamin Bok,2617,2604,2657
153,Eduardo Iturrizaga Bonelli,2617,2641,2645
154,Alexander Riazantsev,2616,2509,2621
155,Maksim Chigaev,2616,2592,2561
156,Ferenc Berkes,2615,2617,2664
157,Aleksandr Rakhmanov,2614,2617,2521
158,Sandro Mareco,2614,2541,2544
159,Aram Hakobyan,2612,2513,2584
160,Jon Ludvig Hammer,2612,2647,2592
162,Axel Bachmann,2611,2616,2611
163,Abhimanyu Puranik,2611,2538,2479
164,Mads Andersen,2610,2512,2518
165,Sergei Movsesian,2610,2601,2570
166,Manuel Petrosyan,2610,2561,2565
167,Samvel Ter-Sahakyan,2609,2550,2545
168,Daniele Vocaturo,2609,2572,2565
169,Eric Hansen,2609,2582,2561
170,Ivan Salgado Lopez,2608,2554,2561
171,Ante Brkic,2608,2585,2560
172,Xu Xiangyu,2608,2580,2490
173,Oleksandr Bortnyk,2608,2642,2731
174,Maxim Rodshtein,2606,2615,2555
175,Lazaro Bruzon Batista,2606,2600,2673
176,Christopher Yoo,2606,2497,2532
177,David Baramidze,2606,0,0
178,Aleksey Dreev,2606,2557,2609
179,Krishnan Sasikiran,2604,2559,2567
180,Vadim Milov,2604,2632,2519
181,Johan-Sebastian Christiansen,2603,2494,2545
182,Viktor Laznicka,2603,2639,2529
183,Tigran Gharamian,2603,2598,2632
184,Jiangchuan Ye,2603,0,0
185,Niclas Huschenbeth,2603,2566,2605
186,Alexander Motylev,2602,2652,2532
187,Vladimir Akopian,2602,2643,2641
188,Mikhail Al Antipov,2601,2593,2513
189,Robert Hovhannisyan,2601,2589,2570
190,Aleksandar Indjic,2601,2553,2611
191,Jacek Tomczak,2601,2538,2551
192,Alexandr Fier,2600,2523,2594
193,Eltaj Safarli,2600,2651,2653
194,Stepan Zilka,2600,2470,2494
195,Maxime Lagarde,2600,2583,2562
196,Tamas Banusz,2600,2556,2602
197,Denis Kadric,2600,2475,2612
198,Liviu-Dieter Nisipeanu,2600,2629,2625
199,Miguel Illescas Cordoba,2600,2612,2570
200,Daniel Dardha,2598,2534,2568
201,Lu Shanglei,2598,2658,2646
202,Farrukh Amonatov,2598,2576,2573
203,Dragan Solak,2598,0,2510
204,Kacper Piorun,2597,2491,2601
205,Emil Sutovsky,2597,2593,2524
206,Shamsiddin Vokhidov,2597,2535,2559
207,David Paravyan,2597,2598,2544
208,Ahmed Adly,2596,2557,2610
209,Arman Pashikian,2594,2585,2535
210,Daniil Yuffa,2594,2509,2552
211,Simen Agdestein,2593,2469,2482
212,Zhou Weiqi,2593,2607,2590
213,John M Burke,2592,0,2574
214,Mikhailo Oleksienko,2592,2507,2551
215,Nigel Short,2592,2534,2571
216,Hristos Banikas,2592,2606,2601
217,Vahap Sanal,2591,2513,2628
218,Ivan Sokolov,2591,2615,2587
219,Yuniesky Quesada Perez,2591,2616,2585
220,S P Sethuraman,2591,2536,2517
221,Rinat Jumabayev,2589,2515,2561
222,Igor Lysyj,2589,2547,2537
223,Dennis Wagner,2589,2456,2482
224,Nidjat Mamedov,2589,2624,2645
225,Miguel Santos Ruiz,2589,2486,2499
226,Konstantin Tarlev,2589,2576,2524
227,Evgenij Miroshnichenko,2589,2573,2539
228,V Pranav,2588,2468,2549
229,Szymon Gumularz,2588,2550,2432
230,Suri Vaibhav,2588,2543,2494
231,Arik Braun,2588,2611,2535
232,Yasser Quesada Perez,2588,2498,2496
233,Adhiban Baskaran,2587,2522,2576
234,Arturs Neiksans,2587,2541,2507
235,Dimitrios Mastrovasilis,2587,2558,2552
236,Robert Markus,2587,2625,2623
237,Yusnel Bacallao Alonso,2587,2490,2561
238,Anton Smirnov,2586,2486,2647
239,Sergey A Fedorchuk,2586,2535,2529
240,Daniel Fridman,2586,2567,2501
241,Aydin Suleymanli,2586,2517,2551
242,Pawel Teclaf,2586,2506,2558
243,Yuri Kruppa,2586,0,0
244,Nikolas Theodorou,2586,2543,2525
245,Boris Grachev,2585,2591,2538
246,Abhimanyu Mishra,2585,0,2449
247,Constantin Lupulescu,2584,2556,2551
248,Giovanni Vescovi,2584,2609,2593
249,Viorel Iordachescu,2584,2498,2547
250,Rustem Dautov,2584,0,2581
251,Surya Shekhar Ganguly,2583,2645,2549
252,Varuzhan Akobian,2582,2634,2566
253,Fernando Peralta,2582,2585,2569
254,Peter Michalik,2582,2525,2585
255,Luis Paulo Supi,2582,2520,2512
256,Emre Can,2582,2541,2502
257,Vladislav Kovalev,2582,2532,2539
258,Matthieu Cornette,2582,2534,2478
259,Pavel Ponkratov,2582,2590,2567
260,Sergei Azarov,2582,2556,2475
261,Peter Prohaszka,2581,2534,2626
262,Temur Kuybokarov,2581,2458,2454
263,Zaven Andriasian,2581,2616,2617
264,Timur Gareyev,2581,2588,2569
265,Bobby Cheng,2580,2513,2481
266,Jergus Pechac,2580,2540,2533
267,Alexander Moiseenko,2579,2562,2556
268,Dmitry Kokarev,2579,2548,2590
269,Denis Khismatullin,2579,2536,2539
270,Martin Kraemer,2579,2527,2482
271,Hovhannes Gabuzyan,2579,2486,2486
272,Yan Liu,2579,2420,2432
273,Vadim Zvjaginsev,2578,2496,2585
274,Zhang Zhong,2578,2493,2535
275,Dimitri Reinderman,2578,0,2526
276,Aditya Mittal,2577,2386,2425
277,Valentin Dragnev,2576,2463,2478
278,Wojciech Moranda,2576,2570,2603
279,Artyom Timofeev,2576,2540,2570
280,Daniel Forcen Esteban,2575,2514,2527
281,Zahar Efimenko,2575,2607,2545
282,Carlos Daniel Albornoz Cabrera,2575,2615,2524
283,Guillermo Vazquez,2575,2473,2543
284,Michael Roiz,2575,2539,2596
285,Wen Yang,2574,2526,2596
286,Baadur Jobava,2574,2647,2576
287,Ilya Smirin,2574,2540,2511
288,Adam Kozak,2574,2546,2469
289,Geetha Narayanan Gopal,2573,2489,2511
290,Evgeny Alekseev,2573,2526,2551
291,Luca Moroni Jr,2573,2504,2556
292,Jingyao Tin,2573,2479,2485
293,Manuel Perez Candelario,2573,2473,2474
294,Alvar Alonso Rosell,2572,2486,2575
295,Bai Jinshi,2572,2522,2516
296,Zhao Jun,2571,2596,2547
297,Zeng Chongsheng,2571,2501,2504
298,Bardiya Daneshvar,2570,2454,2478
299,Jure Borisek,2570,2548,2561
300,Alejandro Ramirez,2570,2579,2683
301,Semen Khanin,2570,2484,2458
302,Velimir Ivic,2570,2504,2563
303,Evgeny Postny,2570,2465,2516
304,Arseniy Nesterov,2569,2532,2494
305,Andrey Baryshpolets,2569,2479,2532
306,John Nunn,2569,2536,2490
307,Mikheil Mchedlishvili,2568,2533,2520
308,Diptayan Ghosh,2568,2440,2545
309,Ju Wenjun,2568,2592,2536
310,Konstantin Sakaev,2568,2510,2632
311,Christian Bauer,2568,2540,2725
312,Pavel V Tregubov,2567,2509,2445
313,Peter Acs,2567,2495,0
314,Antonios Pavlidis,2566,2614,2576
315,Aleksandr Shimanov,2566,2599,2611
316,Mikhail Demidov,2566,2484,2494
317,Platon Galperin,2566,2438,2472
318,Nico Georgiadis,2566,2494,2442
319,Borki Predojevic,2565,2587,2597
320,Erik van den Doel,2565,2539,2495
321,Yannick Gozzoli,2564,2591,2583
322,Levan Pantsulaia,2564,2533,2579
323,Marc Andria Maurizzi,2564,2411,2418
324,Francesco Sonis,2564,2469,2425
325,Vladimir Potkin,2564,2533,2474
326,Rainer Buhmann,2563,2616,2613
327,Harsha Bharathakoti,2563,2523,2509
328,Vugar Asadli,2563,2528,2598
329,Jose Carlos Ibarra Jerez,2563,2549,2637
330,Sergey Grigoriants,2562,2500,2532
331,Karthik Venkataraman,2562,2369,2440
332,Grzegorz Gajewski,2561,2492,2544
333,Li Di,2561,2470,2447
334,Tomi Nyback,2561,2572,2526
335,Denis Lazavik,2560,2495,2560
336,Bartlomiej Heberla,2560,2481,2447
337,Ivan Bocharov,2559,2562,2619
338,Cemil Can Ali Marandi,2559,2553,2468
339,Tuan Minh Le,2559,2501,2565
340,Misratdin Iskandarov,2559,2477,2495
341,Evgeny Romanov,2559,2493,2493
342,Neuris Delgado Ramirez,2558,2618,2616
343,Gergely Antal,2558,2460,2471
344,Csaba Balogh,2558,2609,2646
345,Leon Livaic,2558,2496,2546
346,Liam Vrolijk,2558,2498,2478
347,Zhou Jianchao,2558,2570,2487
348,Valery Kazakouski,2558,2498,2569
349,Aleksandra Goryachkina,2557,2488,2471
350,Robert Kempinski,2556,2494,2608
351,Mircea-Emilian Parligras,2556,2496,2486
352,Tomas Sosa,2556,2480,2566
353,Oliver Mihok,2555,2445,2445
354,Merab Gagunashvili,2555,2492,2551
355,Sergei Ovsejevitsch,2555,2494,2468
356,Ori Kobo,2555,2446,2454
357,Viktor Erdos,2555,2512,2554
358,Mahammad Muradli,2554,2484,2537
359,Julio Catalino Sadorra,2554,2531,2530
360,Gregory Kaidanov,2554,0,2547
361,Zhang Pengxiang,2554,2515,0
362,Fidel Corrales Jimenez,2554,2516,2505
363,Bojan Vuckovic,2554,2570,2478
364,Mikhail Gurevich,2553,2562,2610
365,Evgeny Agrest,2553,2567,2536
366,Humpy Koneru,2553,2473,2448
367,Sebastien Feller,2553,2621,2499
368,Maxim Turov,2552,2518,2394
369,Kateryna Lagno,2552,2483,2504
370,Srinath Narayanan,2552,2475,2442
371,Daniil Lintchevski,2552,2493,2559
372,Sasa Martinovic,2552,2548,2453
373,Klementy Sychev,2552,2484,2583
374,Maksim Vavulin,2552,2479,2544
375,Nikita Petrov,2551,2505,2534
376,Bartosz Socko,2551,2539,2531
377,Kamil Dragun,2550,2553,2551
378,Viktor Matviishen,2550,2436,2433
379,Zbynek Hracek,2550,2559,2534
380,Vladimir Baklan,2550,2625,2610
381,Sipke Ernst,2550,2514,2436
382,Andreas Heimann,2550,2539,2501
383,Lei Tingjie,2550,2517,2530
384,Viktor Gazik,2550,2466,2526
385,Vugar Rasulov,2549,2415,2517
386,Helgi Dam Ziska,2549,2572,2558
387,Hrvoje Stevic,2549,2545,2562
388,Tomas Laurusas,2548,2498,2515
389,Sergey Erenburg,2548,0,2567
390,Tigran L Petrosian,2548,2604,2625
391,Robert Fontaine,2547,0,0
392,Bart Michiels,2547,2550,2565
